paper,repo,found
attention is all you need,https://github.com/Glaceon31/Document-Transformer,N
attention is all you need,https://github.com/tensorflow/tensor2tensor,Y
attention is all you need,https://github.com/Kyubyong/transformer,Y
attention is all you need,https://github.com/yueyongjiao/attention_is_all_you_need_pytorch,Y
attention is all you need,https://github.com/MaZhiyuanBUAA/bert-tf1.4.0,Y
attention is all you need,https://github.com/tcnguyen/bert,Y
attention is all you need,https://github.com/chuanbanjun/bert_comment,Y
attention is all you need,https://github.com/MarcBS/keras,Y
attention is all you need,https://github.com/Lsdefine/attention-is-all-you-need-keras,Y
attention is all you need,https://github.com/vijay120/bert,Y
attention is all you need,https://github.com/YYGXjpg/BERT_WL,Y
attention is all you need,https://github.com/liqifyl/google-bert,N
attention is all you need,https://github.com/FlorianPfisterer/2D-LSTM-Seq2Seq,Y
attention is all you need,https://github.com/yiyc-kor/bert-study,Y
attention is all you need,https://github.com/felix-do-wizardry/bert_felix,Y
attention is all you need,https://github.com/tangmingyi/BERT,N
attention is all you need,https://github.com/Neoanarika/torchexplainer,Y
attention is all you need,https://github.com/NVIDIA/sentiment-discovery,Y
attention is all you need,https://github.com/kolloldas/torchnlp,Y
attention is all you need,https://github.com/goldenbili/Bert_Test2,Y
attention is all you need,https://github.com/thumt/THUMT,Y
attention is all you need,https://github.com/XapaJIaMnu/transformative,Y
attention is all you need,https://github.com/JohannLee1996/bert,Y
attention is all you need,https://github.com/coxy1989/tfmr,Y
attention is all you need,https://github.com/luckynozomi/PPI_Bert,Y
attention is all you need,https://github.com/huoyanfeilikesi/GOOGLE-BERT,Y
attention is all you need,https://github.com/xesdiny/test-bert-master,Y
attention is all you need,https://github.com/DeokO/bert-excercise-ongoing,Y
attention is all you need,https://github.com/ShuvenduBikash/transformer_spelling_corrector,Y
attention is all you need,https://github.com/Gaozhen0816/BERT_QA_For_AILaw,Y
attention is all you need,https://github.com/NathanDuran/BERT,Y
attention is all you need,https://github.com/saurabhkulkarni77/BERT_multilabel,Y
attention is all you need,https://github.com/frankcgq105/BERTCHEN,Y
attention is all you need,https://github.com/pengming617/bert_classification,N
attention is all you need,https://github.com/fciannel/bert_fciannel,Y
attention is all you need,https://github.com/Kevin-Vora/bert-embedding-gluonnlp-edit-,Y
attention is all you need,https://github.com/pytorch/fairseq,N
attention is all you need,https://github.com/THUNLP-MT/THUMT,Y
attention is all you need,https://github.com/brainsqueeze/text2vec,Y
attention is all you need,https://github.com/adi2103/AML-CoVe,Y
attention is all you need,https://github.com/Nstats/my_bert,Y
attention is all you need,https://github.com/DevSinghSachan/multilingual_nmt,N
attention is all you need,https://github.com/why2000/DuReader-bert,Y
attention is all you need,https://github.com/PrideLee/sentiment-analysis,Y
attention is all you need,https://github.com/jangjoongkeon/JK,N
attention is all you need,https://github.com/kotu931226/classifier_transformer_pytorch,Y
attention is all you need,https://github.com/simonjisu/annotated-transformer-kr,Y
attention is all you need,https://github.com/brightmart/bert_customized,Y
attention is all you need,https://github.com/chiayewken/bert-qa,Y
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/ThAIKeras/bert,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/ChaiBapchya/mxnet-hardmax_machine_translation,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/Nirvanabc/seq2seq-rnn,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/google/sentencepiece,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/dmlc/gluon-nlp,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/nkjsy/Neural-Machine-Translation,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/guillaume-chevalier/HAR-stacked-residual-bidir-LSTMs,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/Automattic/wp-translate,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/ZHANG45/multi_gpu_seq2seq,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/guillaume-chevalier/LSTM-Human-Activity-Recognition,N
google's neural machine translation system: bridging the gap between human and machine translation,https://github.com/macco3k/deepstories,N
addressing the rare word problem in neural machine translation,https://github.com/sunnysinghnitb/text_corrector_software,N
addressing the rare word problem in neural machine translation,https://github.com/sunnysinghnitb/text-corrector-software,N
addressing the rare word problem in neural machine translation,https://github.com/atpaino/deep-text-corrector,N
addressing the rare word problem in neural machine translation,https://github.com/gongshuangshuang/deep-text-corrector,N
addressing the rare word problem in neural machine translation,https://github.com/sambit9238/deep_text_corrector,N
sequence to sequence learning with neural networks,https://github.com/giovanniguidi/Seq-2-Seq-OCR,Y
sequence to sequence learning with neural networks,https://github.com/littleflow3r/Sequence_to_sequence_learning_with_NN,Y
sequence to sequence learning with neural networks,https://github.com/ArushiSinghal/Neural-Machine-Translation-English-Hindi-for-domain-data,Y
sequence to sequence learning with neural networks,https://github.com/VishalFun/Keras_practice,Y
sequence to sequence learning with neural networks,https://github.com/matken11235/keras-seq2seq,Y
sequence to sequence learning with neural networks,https://github.com/mlennox/summarisers,Y
sequence to sequence learning with neural networks,https://github.com/weiylu/NLP,Y
sequence to sequence learning with neural networks,https://github.com/littleflow3r/SeqtoSeq_learning_for_machine_translation,Y
sequence to sequence learning with neural networks,https://github.com/damtharvey/wug-test,Y
sequence to sequence learning with neural networks,https://github.com/TEAMLAB-Lecture/deep_nlp_101,Y
sequence to sequence learning with neural networks,https://github.com/ahmadelsallab/spell_corrector,Y
sequence to sequence learning with neural networks,https://github.com/kirillermolov/ChatBot,Y
sequence to sequence learning with neural networks,https://github.com/astorfi/sequence-to-sequence-from-scratch,Y
sequence to sequence learning with neural networks,https://github.com/littleflow3r/Japanese_English_Machine_Translation_Seq2Seq,Y
sequence to sequence learning with neural networks,https://github.com/ArushiSinghal/NMT-assignment1,Y
sequence to sequence learning with neural networks,https://github.com/littleflow3r/Sequence_to_sequence_learning_for_machine_translation,Y
sequence to sequence learning with neural networks,https://github.com/ArushiSinghal/Neural-Machine-Translation,Y
sequence to sequence learning with neural networks,https://github.com/farizrahman4u/seq2seq,Y
sequence to sequence learning with neural networks,https://github.com/isi-nlp/Zoph_RNN,Y
sequence to sequence learning with neural networks,https://github.com/nouhadziri/THRED,Y
sequence to sequence learning with neural networks,https://github.com/astorfi/neural-machine-translation-from-scratch,Y
neural machine translation by jointly learning to align and translate,https://github.com/jiangnanhugo/seq2seq_cuda,Y
neural machine translation by jointly learning to align and translate,https://github.com/shuo-git/THUMT-UNCERTAINTY,Y
neural machine translation by jointly learning to align and translate,https://github.com/Epoch-Mengying/Generating-Poetry-with-Chatbot,Y
neural machine translation by jointly learning to align and translate,https://github.com/eske/seq2seq,Y
neural machine translation by jointly learning to align and translate,https://github.com/Matthewdowney18/Yelp_seq2seq,Y
neural machine translation by jointly learning to align and translate,https://github.com/sunnysinghnitb/text-corrector-software,N
neural machine translation by jointly learning to align and translate,https://github.com/brightmart/text_classification,Y
neural machine translation by jointly learning to align and translate,https://github.com/b-etienne/Seq2seq-PyTorch,Y
neural machine translation by jointly learning to align and translate,https://github.com/Izecson/sockeye-1.16.6,Y
neural machine translation by jointly learning to align and translate,https://github.com/awslabs/sockeye,Y
neural machine translation by jointly learning to align and translate,https://github.com/qq345736500/sarcasm,Y
neural machine translation by jointly learning to align and translate,https://github.com/slme1109/lyrics-generator,Y
neural machine translation by jointly learning to align and translate,https://github.com/thunlp/TensorFlow-Summarization,Y
neural machine translation by jointly learning to align and translate,https://github.com/thumt/THUMT,Y
neural machine translation by jointly learning to align and translate,https://github.com/atpaino/deep-text-corrector,Y
neural machine translation by jointly learning to align and translate,https://github.com/DCYN/Ramdomized-Clinical-Trail-Classification,Y
neural machine translation by jointly learning to align and translate,https://github.com/Izecson/saml-nmt,N
neural machine translation by jointly learning to align and translate,https://github.com/YvesWang/Machine_Translation_NLP,N
neural machine translation by jointly learning to align and translate,https://github.com/SimonDele/Glossary,Y
neural machine translation by jointly learning to align and translate,https://github.com/ScientiaEtVeritas/NeuralMachineTranslation,Y
neural machine translation by jointly learning to align and translate,https://github.com/graykode/nlp-tutorial,Y
neural machine translation by jointly learning to align and translate,https://github.com/lkfo415579/MT-Readling-List,Y
neural machine translation by jointly learning to align and translate,https://github.com/sambit9238/deep_text_corrector,Y
neural machine translation by jointly learning to align and translate,https://github.com/datalogue/keras-attention,Y
neural machine translation by jointly learning to align and translate,https://github.com/mp2893/gram,Y
neural machine translation by jointly learning to align and translate,https://github.com/thomlake/pytorch-attention,Y
neural machine translation by jointly learning to align and translate,https://github.com/A-Jacobson/minimal-nmt,Y
neural machine translation by jointly learning to align and translate,https://github.com/insigh/THUMT,Y
neural machine translation by jointly learning to align and translate,https://github.com/Glaceon31/Document-Transformer,N
neural machine translation by jointly learning to align and translate,https://github.com/abhishekr7/Summarization-of-Radiological-Reports,N
neural machine translation by jointly learning to align and translate,https://github.com/VeritasAuthorship/veritas,Y
neural machine translation by jointly learning to align and translate,https://github.com/brainsqueeze/text2vec,Y
neural machine translation by jointly learning to align and translate,https://github.com/THUNLP-MT/THUMT,Y
neural machine translation by jointly learning to align and translate,https://github.com/Baichenjia/NMT-eager,Y
neural machine translation by jointly learning to align and translate,https://github.com/mayurnewase/Translation,Y
neural machine translation by jointly learning to align and translate,https://github.com/astorfi/sequence-to-sequence-from-scratch,Y
neural machine translation by jointly learning to align and translate,https://github.com/Matthewdowney18/Yelp_attention,Y
neural machine translation by jointly learning to align and translate,https://github.com/SwordYork/DCNMT,Y
neural machine translation by jointly learning to align and translate,https://github.com/sunnysinghnitb/text_corrector_software,N
neural machine translation by jointly learning to align and translate,https://github.com/farizrahman4u/seq2seq,N
neural machine translation by jointly learning to align and translate,https://github.com/simonjisu/NMT,Y
neural machine translation by jointly learning to align and translate,https://github.com/labdac/charlacompling,Y
neural machine translation by jointly learning to align and translate,https://github.com/gongshuangshuang/deep-text-corrector,N
neural machine translation by jointly learning to align and translate,https://github.com/astorfi/neural-machine-translation-from-scratch,Y
neural machine translation by jointly learning to align and translate,https://github.com/umutguneri/Question-Answering-Assistant,Y
neural machine translation by jointly learning to align and translate,https://github.com/sumanbanerjee1/Code-Mixed-Dialog,Y
a convolutional encoder model for neural machine translation,https://github.com/somnath-banerjee/deep,Y
a convolutional encoder model for neural machine translation,https://github.com/facebookresearch/fairseq,Y
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/littleflow3r/Sequence_to_sequence_learning_with_NN,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/littleflow3r/Japanese_English_Machine_Translation_Seq2Seq,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/mp2893/gram,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/littleflow3r/Sequence_to_sequence_learning_for_machine_translation,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/CongBao/ChatBot,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/spratskevich/Lemmatizer,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/farizrahman4u/seq2seq,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/littleflow3r/SeqtoSeq_learning_for_machine_translation,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/damtharvey/wug-test,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/astorfi/neural-machine-translation-from-scratch,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/astorfi/sequence-to-sequence-from-scratch,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/graykode/nlp-tutorial,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/trevor-richardson/rnn_zoo,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/erickrf/autoencoder,N
learning phrase representations using rnn encoder-decoder for statistical machine translation,https://github.com/Avmb/lowrank-gru,N
recurrent neural network regularization,https://github.com/Hapiny/tensorflow-rnn-shakespeare,Y
recurrent neural network regularization,https://github.com/rgarzonj/LSTMs,Y
recurrent neural network regularization,https://github.com/saschaschramm/LSTM,Y
recurrent neural network regularization,https://github.com/BenjaminGonzalez/BamCode,Y
recurrent neural network regularization,https://github.com/tmatha/lstm,Y
recurrent neural network regularization,https://github.com/sebastianGehrmann/tensorflow-statereader,Y
recurrent neural network regularization,https://github.com/floydhub/word-language-model,Y
recurrent neural network regularization,https://github.com/martin-gorner/tensorflow-rnn-shakespeare,Y
recurrent neural network regularization,https://github.com/isi-nlp/Zoph_RNN,Y
recurrent neural network regularization,https://github.com/wojzaremba/lstm,N
recurrent neural network regularization,https://github.com/hikaruya8/lstm_model_py,Y
recurrent neural network regularization,https://github.com/nbansal90/bAbi_QA,Y
can active memory replace attention?,https://github.com/tensorflow/models/tree/master/research/neural_gpu,Y
neural machine translation in linear time,https://github.com/adityaagrawal7/speech-to-text-wavenet,Y
neural machine translation in linear time,https://github.com/Stephenzwang/lipreader,Y
neural machine translation in linear time,https://github.com/kinimod23/ATS_Project,Y
neural machine translation in linear time,https://github.com/kingstarcraft/speech-to-text-wavenet2,Y
neural machine translation in linear time,https://github.com/freedombenLiu/speech-to-text-wavenet,Y
neural machine translation in linear time,https://github.com/liguigui/speech-to-text-wavenet,Y
neural machine translation in linear time,https://github.com/paarthneekhara/byteNet-tensorflow,Y
neural machine translation in linear time,https://github.com/katyalnikita/Optimize_Query,N
unsupervised neural machine translation,https://github.com/artetxem/undreamt,Y
unsupervised neural machine translation,https://github.com/rsennrich/subword-nmt,N
the best of both worlds: combining recent advances in neural machine translation,https://github.com/zysite/post,N
the best of both worlds: combining recent advances in neural machine translation,https://github.com/duyvuleo/Transformer-DyNet,N
universal transformers,https://github.com/GlassyWing/transformer-word-segmenter,Y
universal transformers,https://github.com/tensorflow/tensor2tensor,Y
universal transformers,https://github.com/MostafaDehghani/bAbI-T2T,Y
universal transformers,https://github.com/cfiken/universal_transformer,Y
universal transformers,https://github.com/kienduynguyen/Adaptive-Computation,N
universal transformers,https://github.com/akikaaa/Transformer,N
non-autoregressive neural machine translation,https://github.com/MultiPath/NA-NMT,Y
non-autoregressive neural machine translation,https://github.com/salesforce/nonauto-nmt,Y
deterministic non-autoregressive neural sequence modeling by iterative refinement,https://github.com/nyu-dl/dl4mt-nonauto,N
sequence-level knowledge distillation,https://github.com/harvardnlp/seq2seq-attn,Y
sequence-level knowledge distillation,https://github.com/harvardnlp/nmt-android,Y
pervasive attention: 2d convolutional neural networks for sequence-to-sequence prediction,https://github.com/poifull10/PervasiveAttentionNet,N
pervasive attention: 2d convolutional neural networks for sequence-to-sequence prediction,https://github.com/elbayadm/attn2d,N
pervasive attention: 2d convolutional neural networks for sequence-to-sequence prediction,https://github.com/tdiggelm/nn-experiments,N
frage: frequency-agnostic word representation,https://github.com/ChengyueGongR/FrequencyAgnostic,Y
frage: frequency-agnostic word representation,https://github.com/bifeng/deep_coding_notes,N
latent alignment and variational attention,https://github.com/harvardnlp/var-attn,Y
classical structured prediction losses for sequence to sequence learning,https://github.com/pytorch/fairseq,N
towards neural phrase-based machine translation,https://github.com/Microsoft/NPMT,Y
towards neural phrase-based machine translation,https://github.com/posenhuang/NPMT,Y
an actor-critic algorithm for sequence prediction,https://github.com/rizar/actor-critic-public,N
an actor-critic algorithm for sequence prediction,https://github.com/akashkm99/RL-Paper-Notes,Y
compressing word embeddings via deep compositional code learning,https://github.com/zomux/neuralcompressor,Y
sequence-to-sequence learning as beam-search optimization,https://github.com/pytorch/fairseq,N
sequence-to-sequence learning as beam-search optimization,https://github.com/facebookresearch/fairseq-py,N
sequence level training with recurrent neural networks,https://github.com/NPCai/Nopie,Y
sequence level training with recurrent neural networks,https://github.com/eske/seq2seq,Y
sequence level training with recurrent neural networks,https://github.com/CZWin32768/seqmnist,Y
sequence level training with recurrent neural networks,https://github.com/facebookresearch/MIXER,Y
quasi-recurrent neural networks,https://github.com/salesforce/pytorch-qrnn,Y
quasi-recurrent neural networks,https://github.com/Kyubyong/quasi-rnn,Y
quasi-recurrent neural networks,https://github.com/jcd12/biomind,Y
quasi-recurrent neural networks,https://github.com/zhou059/w266-project,Y
neural machine translation of rare words with subword units,https://github.com/nyu-dl/dl4mt-cdec,Y
neural machine translation of rare words with subword units,https://github.com/EdinburghNLP/code-docstring-corpus,Y
neural machine translation of rare words with subword units,https://github.com/Automattic/wp-translate,Y
neural machine translation of rare words with subword units,https://github.com/ThAIKeras/bert,Y
neural machine translation of rare words with subword units,https://github.com/facebookresearch/fairseq,Y
neural machine translation of rare words with subword units,https://github.com/SeonbeomKim/Python-Byte_Pair_Encoding,Y
neural machine translation of rare words with subword units,https://github.com/ksulima/Unsupervised-method-to-NPL-Polish-language,Y
neural machine translation of rare words with subword units,https://github.com/SeonbeomKim/Python-Bype_Pair_Encoding,Y
neural machine translation of rare words with subword units,https://github.com/nyu-dl/dl4mt-c2c,Y
neural machine translation of rare words with subword units,https://github.com/simonjisu/NMT,Y
neural machine translation of rare words with subword units,https://github.com/somnath-banerjee/deep,Y
neural machine translation of rare words with subword units,https://github.com/lkfo415579/MT-Readling-List,Y
neural machine translation of rare words with subword units,https://github.com/facebookresearch/fairseq-py,N
neural machine translation of rare words with subword units,https://github.com/Avmb/code-docstring-corpus,Y
neural machine translation of rare words with subword units,https://github.com/glample/fastBPE,Y
linguistic input features improve neural machine translation,https://github.com/rsennrich/wmt16-scripts,N
unsupervised neural machine translation with weight sharing,https://github.com/ZhenYangIACAS/unsupervised-NMT,N
unsupervised machine translation using monolingual corpora only,https://github.com/jiajunhua/facebookresearch-MUSE,Y
unsupervised machine translation using monolingual corpora only,https://github.com/facebookresearch/MUSE,Y
unsupervised machine translation using monolingual corpora only,https://github.com/maochf/MUSE,Y
unsupervised machine translation using monolingual corpora only,https://github.com/samnguyen8991/Facebook-MUSE,Y
unsupervised machine translation using monolingual corpora only,https://github.com/labdac/charlacompling,Y
unsupervised machine translation using monolingual corpora only,https://github.com/freedombenLiu/MUSE,Y
unsupervised machine translation using monolingual corpora only,https://github.com/migonch/unsupervised_mt,Y
unsupervised machine translation using monolingual corpora only,https://github.com/YovaKem/generalized-procrustes-MUSE,Y
a character-level decoder without explicit segmentation for neural machine translation,https://github.com/nyu-dl/dl4mt-cdec,N
a character-level decoder without explicit segmentation for neural machine translation,https://github.com/nyu-dl/dl4mt-c2c,N
simple recurrent units for highly parallelizable recurrence,https://github.com/Lukasz-G/Hydra,N
simple recurrent units for highly parallelizable recurrence,https://github.com/suzhiba/SimpleRecurrentUnits-SRU-,Y
simple recurrent units for highly parallelizable recurrence,https://github.com/ra1nty/sru-naive,Y
simple recurrent units for highly parallelizable recurrence,https://github.com/sangjeedondrub/my-awesome-list,Y
simple recurrent units for highly parallelizable recurrence,https://github.com/seppilee/Papers,N
simple recurrent units for highly parallelizable recurrence,https://github.com/taolei87/sru,Y
depthwise separable convolutions for neural machine translation,https://github.com/tensorflow/tensor2tensor,Y
