Title,Domain,Datasets,GIT link
Efficient RGB-D Semantic Segmentation for Indoor Scene Analysis Edit social previewEfficient RGB-D Semantic Segmentation for Indoor Scene Analysis Edit social preview,['SEMANTIC SEGMENTATION'],"['', ' SUN RGB-D ', ' Cityscapes ', ' NYUv2 ']",['https://github.com/TUI-NICR/ESANet']
Prototypical Pseudo Label Denoising and Target Structure Learning for Domain Adaptive Semantic Segmentation Edit social previewPrototypical Pseudo Label Denoising and Target Structure Learning for Domain Adaptive Semantic Segmentation Edit social preview,"['IMAGE-TO-IMAGE TRANSLATION', 'SYNTHETIC-TO-REAL TRANSLATION', 'DOMAIN ADAPTATION', 'UNSUPERVISED DOMAIN ADAPTATION', 'SEMANTIC SEGMENTATION']","['', ' SYNTHIA ', ' Cityscapes ', ' GTA5 ']",[]
Self-Supervised Model Adaptation for Multimodal Semantic Segmentation Edit social previewSelf-Supervised Model Adaptation for Multimodal Semantic Segmentation Edit social preview,"['SCENE RECOGNITION', 'SEMANTIC SEGMENTATION']","['', ' ImageNet ', ' SUN3D ', ' SYNTHIA ', ' Cityscapes ', ' SUN RGB-D ', ' ScanNet ']",['https://github.com/DeepSceneSeg/SSMA']
Cloud-Net+: A Cloud Segmentation CNN for Landsat 8 Remote Sensing Imagery Optimized with Filtered Jaccard Loss Function Edit social previewCloud-Net+: A Cloud Segmentation CNN for Landsat 8 Remote Sensing Imagery Optimized with Filtered Jaccard Loss Function Edit social preview,['CLOUD DETECTION'],[''],"['https://github.com/SorourMo/95-Cloud-An-Extension-to-38-Cloud-Dataset', 'https://github.com/dveyarangi/cloud-net-plus']"
Global Aggregation then Local Distribution in Fully Convolutional Networks Edit social previewGlobal Aggregation then Local Distribution in Fully Convolutional Networks Edit social preview,"['OBJECT DETECTION', 'INSTANCE SEGMENTATION', 'SEMANTIC SEGMENTATION', 'SCENE UNDERSTANDING']","['', ' COCO ', ' PASCAL VOC ', ' Cityscapes ', ' Mapillary Vistas Dataset ', ' PASCAL VOC 2007 ']","['https://github.com/lxtGH/GALD-DGCNet', 'https://github.com/lxtGH/GALD-Net']"
SkyScapes Fine-Grained Semantic Understanding of Aerial Scenes Edit social previewSkyScapes Fine-Grained Semantic Understanding of Aerial Scenes Edit social preview,"['EDGE DETECTION', 'SEMANTIC SEGMENTATION', 'AUTONOMOUS DRIVING']","['', ' ImageNet ', ' COCO ', ' Cityscapes ', ' DOTA ']",[]
"RELLIS-3D Dataset: Data, Benchmarks and Analysis Edit social previewRELLIS-3D Dataset: Data, Benchmarks and Analysis Edit social preview","['AUTONOMOUS NAVIGATION', '3D SEMANTIC SEGMENTATION', 'SEMANTIC SEGMENTATION', 'SCENE UNDERSTANDING']","['', ' nuScenes ', ' CamVid ', ' RELLIS-3D ', ' Cityscapes ', ' ADE20K ', ' BDD100K ', ' Mapillary Vistas Dataset ', ' A2D2 ', ' SemanticKITTI ']",['https://github.com/unmannedlab/RELLIS-3D']
Improving Semantic Segmentation via Video Propagation and Label Relaxation Edit social previewImproving Semantic Segmentation via Video Propagation and Label Relaxation Edit social preview,"['VIDEO PREDICTION', 'SEMANTIC SEGMENTATION']","['', ' KITTI ', ' CamVid ', ' SYNTHIA ', ' Cityscapes ', ' Mapillary Vistas Dataset ']","['https://github.com/YeLyuUT/SSeg', 'https://github.com/NVIDIA/semantic-segmentation']"
FasterSeg: Searching for Faster Real-time Semantic Segmentation Edit social previewFasterSeg: Searching for Faster Real-time Semantic Segmentation Edit social preview,"['NEURAL ARCHITECTURE SEARCH', 'REAL-TIME SEMANTIC SEGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' ImageNet ', ' Cityscapes ']",['https://github.com/TAMU-VITA/FasterSeg']
A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View Edit social previewA Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View Edit social preview,"['BIRD VIEW SYNTHESIS', 'CROSS-VIEW IMAGE-TO-IMAGE TRANSLATION', 'SEMANTIC SEGMENTATION', 'IMAGE STITCHING']","['', ' Cam2BEV ']",['https://github.com/ika-rwth-aachen/Cam2BEV']
Inter-Region Affinity Distillation for Road Marking Segmentation Edit social previewInter-Region Affinity Distillation for Road Marking Segmentation Edit social preview,"['KNOWLEDGE DISTILLATION', 'SEMANTIC SEGMENTATION', 'LANE DETECTION']","['', ' CULane ', ' ApolloScape ', ' Cityscapes ']",['https://github.com/cardwing/Codes-for-IntRA-KD']
Plugin Networks for Inference under Partial Evidence Edit social previewPlugin Networks for Inference under Partial Evidence Edit social preview,"['MULTI-LABEL CLASSIFICATION', 'SEMANTIC SEGMENTATION', 'SCENE RECOGNITION']","['', ' ImageNet ', ' Places ', ' COCO ', ' PASCAL VOC ', ' SBD ', ' PASCAL VOC 2011 ']",['https://github.com/tooploox/plugin-networks']
What's There in the Dark Edit social previewWhat's There in the Dark Edit social preview,"['SCENE PARSING', 'SEMANTIC SEGMENTATION']","['', ' Mapillary Vistas Dataset ', ' BDD100K ']",['https://github.com/sauradip/night_image_semantic_segmentation']
Foreground-Aware Relation Network for Geospatial Object Segmentation in High Spatial Resolution Remote Sensing Imagery Edit social previewForeground-Aware Relation Network for Geospatial Object Segmentation in High Spatial Resolution Remote Sensing Imagery Edit social preview,['SEMANTIC SEGMENTATION'],"['', ' ImageNet ', ' COCO ', ' iSAID ', ' DOTA ', ' RoadTracer ']",['https://github.com/Z-Zheng/FarSeg']
Aerial Imagery Pixel-level Segmentation Edit social previewAerial Imagery Pixel-level Segmentation Edit social preview,"['DATA AUGMENTATION', 'SEMANTIC SEGMENTATION']",[''],['https://github.com/mrheffels/aerial-imagery-segmentation']
UVid-Net: Enhanced Semantic Segmentation of UAV Aerial Videos by Embedding Temporal Information Edit social previewUVid-Net: Enhanced Semantic Segmentation of UAV Aerial Videos by Embedding Temporal Information Edit social preview,"['OPTICAL FLOW ESTIMATION', 'DECISION MAKING', 'VIDEO SEMANTIC SEGMENTATION', 'AERIAL VIDEO SEMANTIC SEGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' AeroRIT ', ' Cityscapes ']",[]
KPConv: Flexible and Deformable Convolution for Point Clouds Edit social previewKPConv: Flexible and Deformable Convolution for Point Clouds Edit social preview,"['3D SEMANTIC SEGMENTATION', '3D PART SEGMENTATION', 'SCENE SEGMENTATION', '3D POINT CLOUD CLASSIFICATION', 'SEMANTIC SEGMENTATION']","['', ' ScanNet ', ' ModelNet ']","['https://github.com/hikaruzzz/computerVisionResearch', 'https://github.com/HuguesTHOMAS/KPConv', 'https://github.com/Arjun-NA/KPConv_for_DALES', 'https://github.com/HuguesTHOMAS/KPConv-PyTorch', 'https://github.com/XuyangBai/KPConv.pytorch']"
EfficientSeg: An Efficient Semantic Segmentation Network Edit social previewEfficientSeg: An Efficient Semantic Segmentation Network Edit social preview,['SEMANTIC SEGMENTATION'],"['', ' Cityscapes VIPriors subset ', ' Cityscapes ']",['https://github.com/MrGranddy/EfficientSeg']
Sharpness-Aware Minimization for Efficiently Improving Generalization Edit social previewSharpness-Aware Minimization for Efficiently Improving Generalization Edit social preview,"['IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION', 'LEARNING WITH NOISY LABELS']","['', ' ImageNet ', ' Fashion-MNIST ', ' Food-101 ', ' CIFAR-100 ', ' Birdsnap ', ' SVHN ', ' CIFAR-10 ']","['https://github.com/Jannoshh/simple-sam', 'https://github.com/google-research/sam', 'https://github.com/moskomule/sam.pytorch', 'https://github.com/davda54/sam', 'https://github.com/Janus-Shiau/SAM-tf2', 'https://github.com/sayakpaul/Sharpness-Aware-Minimization-TensorFlow']"
A Branching and Merging Convolutional Network with Homogeneous Filter Capsules Edit social previewA Branching and Merging Convolutional Network with Homogeneous Filter Capsules Edit social preview,['IMAGE CLASSIFICATION'],"['', ' MNIST ']",['https://github.com/AdamByerly/BMCNNwHFCs']
Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision Edit social previewScaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision Edit social preview,"['CROSS-MODAL RETRIEVAL', 'REPRESENTATION LEARNING', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' COCO ', ' Flickr30k ']",[]
Meta Pseudo Labels Edit social previewMeta Pseudo Labels Edit social preview,"['META-LEARNING', 'SEMI-SUPERVISED IMAGE CLASSIFICATION', 'IMAGE CLASSIFICATION']","['', ' ImageNet ', ' SVHN ', ' CIFAR-10 ', ' YFCC100M ']","['https://github.com/YanYan0716/MPL', 'https://github.com/google-research/google-research/tree/master/meta_pseudo_labels', 'https://github.com/kekmodel/MPL-pytorch']"
Augmentation Strategies for Learning with Noisy Labels Edit social previewAugmentation Strategies for Learning with Noisy Labels Edit social preview,"['IMAGE CLASSIFICATION', 'LEARNING WITH NOISY LABELS']","['', ' Clothing1M ']",['https://github.com/KentoNishi/Augmentation-for-LNL']
Grafit: Learning fine-grained image representations with coarse labels Edit social previewGrafit: Learning fine-grained image representations with coarse labels Edit social preview,"['SELF-SUPERVISED LEARNING', 'TRANSFER LEARNING', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' Food-101 ', ' Stanford Cars ', ' CIFAR-100 ', ' iNaturalist ', ' YFCC100M ']",[]
Fine-Tuning DARTS for Image Classification Edit social previewFine-Tuning DARTS for Image Classification Edit social preview,"['NEURAL ARCHITECTURE SEARCH', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' Fashion-MNIST ', ' CIFAR-100 ', ' CIFAR-10 ', ' CompCars ']",[]
Neural Architecture Transfer Edit social previewNeural Architecture Transfer Edit social preview,"['NEURAL ARCHITECTURE SEARCH', 'TRANSFER LEARNING', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' ImageNet ', ' Oxford 102 Flower ', ' Stanford Cars ', ' Food-101 ', ' CIFAR-100 ', ' CINIC-10 ', ' STL-10 ', ' Oxford-IIIT Pets ', ' CIFAR-10 ', ' DTD ', ' FGVC-Aircraft ']",['https://github.com/human-analysis/neural-architecture-transfer']
Edge-labeling Graph Neural Network for Few-shot Learning Edit social previewEdge-labeling Graph Neural Network for Few-shot Learning Edit social preview,"['FEW-SHOT LEARNING', 'IMAGE CLASSIFICATION', 'FEW-SHOT IMAGE CLASSIFICATION']","['', ' tieredImageNet ', ' miniImageNet ']","['https://github.com/khy0809/fewshot-egnn', 'https://github.com/zhangjb416/egnn-diff_pool', 'https://github.com/xxxnhb/fewshot-egnn', 'https://github.com/zhangjb416/egnn-Graph_Unet', 'https://github.com/yjt2018/fewshot-egnn']"
Efficient-CapsNet: Capsule Network with Self-Attention Routing Edit social previewEfficient-CapsNet: Capsule Network with Self-Attention Routing Edit social preview,"['IMAGE CLASSIFICATION', 'DATA AUGMENTATION']","['', ' smallNORB ', ' MultiMNIST ']",['https://github.com/EscVM/Efficient-CapsNet']
Fixing the train-test resolution discrepancy Edit social previewFixing the train-test resolution discrepancy Edit social preview,"['FINE-GRAINED IMAGE CLASSIFICATION', 'IMAGE CLASSIFICATION', 'DATA AUGMENTATION']","['', ' ImageNet ', ' CUB-200-2011 ', ' iNaturalist ', ' Oxford-IIIT Pets ']","['https://github.com/kun-woo-park/Deeplearning_project_STL_10', 'https://github.com/facebookresearch/FixRes']"
Big Transfer (BiT): General Visual Representation Learning Edit social previewBig Transfer (BiT): General Visual Representation Learning Edit social preview,"['FEW-SHOT LEARNING', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION', 'REPRESENTATION LEARNING']","['', ' ImageNet ', ' JFT-300M ', ' COCO ', ' CIFAR-100 ', ' CIFAR-10 ', ' YFCC100M ', ' ObjectNet ']","['https://github.com/google-research/big_transfer', 'https://github.com/SoojungYang/supervised_pretraining_GN_WS', 'https://github.com/sayakpaul/A-Barebones-Image-Retrieval-System']"
A Closer Look at Art Mediums: The MAMe Image Classification Dataset Edit social previewA Closer Look at Art Mediums: The MAMe Image Classification Dataset Edit social preview,['IMAGE CLASSIFICATION'],"['', ' Places ', ' Caltech-256 ', ' IP102 ', ' MAMe ']",['https://github.com/HPAI-BSC/MAMe-baselines']
Direction Concentration Learning: Enhancing Congruency in Machine Learning Edit social previewDirection Concentration Learning: Enhancing Congruency in Machine Learning Edit social preview,"['IMAGE CLASSIFICATION', 'SALIENCY PREDICTION', 'CONTINUAL LEARNING']","['', ' Tiny ImageNet ', ' ImageNet ', ' COCO ', ' CIFAR-100 ', ' CIFAR-10 ', ' MNIST ', ' SALICON ']",['https://github.com/luoyan407/congruency']
Null-sampling for Interpretable and Fair Representations Edit social previewNull-sampling for Interpretable and Fair Representations Edit social preview,"['IMAGE CLASSIFICATION', 'FAIRNESS']","['', ' Fashion-MNIST ', ' CelebA ']",['https://github.com/predictive-analytics-lab/nifr']
Webly Supervised Image Classification with Self-Contained Confidence Edit social previewWebly Supervised Image Classification with Self-Contained Confidence Edit social preview,['IMAGE CLASSIFICATION'],"['', ' ImageNet ', ' Places ', ' Food-101 ', ' WebVision ']",[]
UFPR-Periocular: A Periocular Dataset Collected by Mobile Devices in Unconstrained Scenarios Edit social previewUFPR-Periocular: A Periocular Dataset Collected by Mobile Devices in Unconstrained Scenarios Edit social preview,"['MULTI-CLASS CLASSIFICATION', 'IMAGE CLASSIFICATION', 'FACE RECOGNITION']","['', ' VGGFace2 ', ' ImageNet ', ' CUB-200-2011 ']",[]
CleanNet: Transfer Learning for Scalable Image Classifier Training with Label Noise Edit social previewCleanNet: Transfer Learning for Scalable Image Classifier Training with Label Noise Edit social preview,"['TRANSFER LEARNING', 'IMAGE CLASSIFICATION']","['', ' ImageNet ', ' Places ', ' LSUN ', ' COCO ', ' Food-101 ', ' WebVision ', ' Clothing1M ']",['https://github.com/kuanghuei/clean-net']
PCGAN-CHAR: Progressively Trained Classifier Generative Adversarial Networks for Classification of Noisy Handwritten Bangla Characters Edit social previewPCGAN-CHAR: Progressively Trained Classifier Generative Adversarial Networks for Classification of Noisy Handwritten Bangla Characters Edit social preview,"['IMAGE CLASSIFICATION', 'DENOISING', 'DOCUMENT IMAGE CLASSIFICATION']","['', ' MNIST ']",[]
SpinalNet: Deep Neural Network with Gradual Input Edit social previewSpinalNet: Deep Neural Network with Gradual Input Edit social preview,"['TRANSFER LEARNING', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' QMNIST ', ' Fashion-MNIST ', ' Oxford 102 Flower ', ' BIRD ', ' CINIC-10 ', ' CIFAR-100 ', ' STL-10 ', ' Caltech-101 ', ' Kuzushiji-MNIST ', ' CIFAR-10 ', ' EMNIST ']","['https://github.com/dipuk0506/SpinalNet', 'https://github.com/Mechachleopteryx/SpinalNet']"
UPANets: Learning from the Universal Pixel Attention Networks Edit social previewUPANets: Learning from the Universal Pixel Attention Networks Edit social preview,['IMAGE CLASSIFICATION'],"['', ' Tiny ImageNet ', ' CIFAR-100 ', ' CIFAR-10 ']",['https://github.com/hanktseng131415go/UPANets']
Classification of Fracture and Normal Shoulder Bone X-Ray Images Using Ensemble and Transfer Learning With Deep Learning Models Based on Convolutional Neural Networks Edit social previewClassification of Fracture and Normal Shoulder Bone X-Ray Images Using Ensemble and Transfer Learning With Deep Learning Models Based on Convolutional Neural Networks Edit social preview,"['TRANSFER LEARNING', 'IMAGE CLASSIFICATION']","['', ' MURA ']",['https://github.com/fatihuysal88/shoulder-c']
MSMatch: Semi-Supervised Multispectral Scene Classification with Few Labels Edit social previewMSMatch: Semi-Supervised Multispectral Scene Classification with Few Labels Edit social preview,"['IMAGE CLASSIFICATION', 'SCENE CLASSIFICATION']","['', ' EuroSAT ']",['https://github.com/gomezzz/MSMatch']
Dynamic Routing Between Capsules Edit social previewDynamic Routing Between Capsules Edit social preview,['IMAGE CLASSIFICATION'],"['', ' SVHN ', ' MultiMNIST ', ' smallNORB ']","['https://github.com/OwenLeng/pytorch-capsule', 'https://github.com/glassroom/heinsen_routing', 'https://github.com/dolaram/Deep-Reinforcement-Learning-using-Capsule-Network', 'https://github.com/leekh7411/Capsule-Network-MNIST-Visualization', 'https://github.com/lab-ml/nn/tree/master/labml_nn/capsule_networks', 'https://github.com/yechengxi/LightCapsNet', 'https://github.com/Utkarsh87/Capsule-Networks', 'https://github.com/dragen1860/CapsNet-Pytorch', 'https://github.com/gram-ai/capsule-networks', 'https://github.com/leoniloris/CapsNet', 'https://github.com/bhneo/Capsnet-Experiments', 'https://github.com/dedhiaparth98/capsule-network', 'https://github.com/anastasios-stamoulis/deep-learning-with-csharp-and-cntk', 'https://github.com/Cheng-Lin-Li/SegCaps', 'https://github.com/southworkscom/CapsNet-CNTK', 'https://github.com/ethanleet/CapsNet', 'https://github.com/soskek/dynamic_routing_between_capsules', 'https://github.com/DanielLongo/CapsNet-PyTorch', 'https://github.com/kazukiii/caps-net-pytorch', 'https://github.com/hli2020/nn_capsulation', 'https://github.com/dshelukh/CapsuleLearner', 'https://github.com/jelifysh/Capsule-Networks', 'https://github.com/shashankmanjunath/capsnet', 'https://github.com/danielhavir/capsule-network', 'https://github.com/sharathsarangmath/Vector-Capsule-Network-for-wild-animal-species-recognition-in-Camera-trap-images.', 'https://github.com/Ugenteraan/CapsNet-MNIST-TF', 'https://github.com/sahil02235/CAPSULE-NETWORK-IMPLEMENTATION', 'https://github.com/pruthvip98/Image-Forgery-Detection', 'https://github.com/Riroaki/CapsNet', 'https://github.com/XifengGuo/CapsNet-Keras', 'https://github.com/JunYeopLee/capsule-networks', 'https://github.com/im-ant/Capsules-Guys', 'https://github.com/bdsaglam/CapsNet', 'https://github.com/Sarasra/models', 'https://github.com/sharathsarangmath/Vector-Capsule-Network-for-wild-animal-species-recognition-in-Camera-trap-images', 'https://github.com/arsenzaryan/CapsNet', 'https://github.com/Colonel-Hathi/CapsNet-Treemap-Perception-Trafficsign', 'https://github.com/laubonghaudoi/CapsNet_guide_PyTorch', 'https://github.com/lalonderodney/SegCaps', 'https://github.com/dolaram/Capsule-Network-for-MNIST-classification', 'https://github.com/Ian-Liao/SegCaps', 'https://github.com/JSerowik/Masters_Thesis', 'https://github.com/Soonhwan-Kwon/capsnet.mxnet', 'https://github.com/EscVM/Efficient-CapsNet', 'https://github.com/yikuide/pytorch-capsule', 'https://github.com/Oushesh/CapsClassifigner', 'https://github.com/arnomoonens/capsule-networks', 'https://github.com/noureldinalaa/Capsule-Networks', 'https://github.com/jwwandy/DynamicRoutingBetweenCapsules-PyTorch', 'https://github.com/www0wwwjs1/Matrix-Capsules-EM-Tensorflow', 'https://github.com/ameliajimenez/capsule-networks-medical-data-challenges', 'https://github.com/Suraj-Panwar/Capsule_Network_based_Deep_Q_learning', 'https://github.com/Reatris/Capsule_Net', 'https://github.com/YushiChen/Conv-Caps-HSI-Classification', 'https://github.com/Ugenteraan/CapsNet-PyTorch', 'https://github.com/mshaikh2/GANs_Comparison', 'https://github.com/DanielLongo/CapsGAN', 'https://github.com/hli2020/nn_encapsulation', 'https://github.com/JeremyCCHsu/CapsNet-tf', 'https://github.com/naturomics/CapsNet-Tensorflow', 'https://github.com/khumbuai/kaggle_toxic_comments', 'https://github.com/akanimax/capsule-network-TensorFlow']"
AutoDropout: Learning Dropout Patterns to Regularize Deep Networks Edit social previewAutoDropout: Learning Dropout Patterns to Regularize Deep Networks Edit social preview,"['LANGUAGE MODELLING', 'MACHINE TRANSLATION', 'IMAGE CLASSIFICATION']","['', ' WikiText-2 ', ' ImageNet ', ' NAS-Bench-201 ', ' CIFAR-10 ', ' NAS-Bench-101 ']",['https://github.com/google-research/google-research']
Early-Learning Regularization Prevents Memorization of Noisy Labels Edit social previewEarly-Learning Regularization Prevents Memorization of Noisy Labels Edit social preview,"['IMAGE CLASSIFICATION', 'LEARNING WITH NOISY LABELS']","['', ' ImageNet ', ' WebVision ', ' CIFAR-100 ', ' CIFAR-10 ', ' Clothing1M ']",['https://github.com/shengliu66/ELR']
Learning from Crowds by Modeling Common Confusions Edit social previewLearning from Crowds by Modeling Common Confusions Edit social preview,['IMAGE CLASSIFICATION'],"['', ' LabelMe ', ' CIFAR-10 ']",['https://github.com/seunghyukcho/CoNAL-pytorch']
Image and Text fusion for UPMC Food-101 \\using BERT and CNNs Edit social previewImage and Text fusion for UPMC Food-101 \\using BERT and CNNs Edit social preview,"['MULTIMODAL TEXT AND IMAGE CLASSIFICATION', 'IMAGE CLASSIFICATION', 'DOCUMENT TEXT CLASSIFICATION', 'MULTIMODAL DEEP LEARNING']","['', ' Food-101 ']",['https://github.com/artelab/Image-and-Text-fusion-for-UPMC-Food-101-using-BERT-and-CNNs']
Rethinking Recurrent Neural Networks and Other Improvements for Image Classification Edit social previewRethinking Recurrent Neural Networks and Other Improvements for Image Classification Edit social preview,"['IMAGE CLASSIFICATION', 'TIME SERIES']","['', ' iNaturalist ', ' ImageNet ', ' CIFAR-10 ']",['https://github.com/leonlha/e2e-3m']
Sequential Random Network for Fine-grained Image Classification Edit social previewSequential Random Network for Fine-grained Image Classification Edit social preview,"['FINE-GRAINED IMAGE RECOGNITION', 'IMAGE CLASSIFICATION', 'FINE-GRAINED IMAGE CLASSIFICATION']","['', ' Oxford 102 Flower ', ' CUB-200-2011 ', ' Stanford Cars ', ' Oxford-IIIT Pets ']",[]
Beta R-CNN: Looking into Pedestrian Detection from Another Perspective Edit social previewBeta R-CNN: Looking into Pedestrian Detection from Another Perspective Edit social preview,"['OBJECT DETECTION', 'PEDESTRIAN DETECTION']","['', ' CrowdHuman ', ' CityPersons ']",['https://github.com/Guardian44x/Beta-R-CNN']
Patch Refinement -- Localized 3D Object Detection Edit social previewPatch Refinement -- Localized 3D Object Detection Edit social preview,"['OBJECT DETECTION', '3D OBJECT DETECTION', 'REGRESSION', 'REGION PROPOSAL']","['', ' KITTI ']",[]
IterDet: Iterative Scheme for Object Detection in Crowded Environments Edit social previewIterDet: Iterative Scheme for Object Detection in Crowded Environments Edit social preview,['OBJECT DETECTION'],"['', ' CrowdHuman ', ' WiderPerson ']",['https://github.com/saic-vul/iterdet']
