name,repo_url,extracted_properties,missing_properties,correct_properties,Precision,Recall,F1
SimGAN-Captcha,https://github.com/rickyhan/SimGAN-Captcha,9,1,8,0.888888889,0.8,0.842105263
Multi Index Hashing (MIH),https://github.com/norouzi/mih,7,2,6,0.857142857,0.666666667,0.75
JamBot: Music Theory Aware Chord Based Generation of Polyphonic Music with LSTMs,https://github.com/brunnergino/JamBot,8,1,7,0.875,0.777777778,0.823529412
What,https://github.com/qinwang/leela-zero,8,0,6,0.75,0.75,0.75
EfficientNet-ModelScaling,https://github.com/machinelearning-goettingen/EfficientNet-ModelScaling,9,0,8,0.888888889,0.888888889,0.888888889
FALKON_paper,https://github.com/LCSL/FALKON_paper,9,1,8,0.888888889,0.8,0.842105263
DARTS: Differentiable Architecture Search,https://github.com/khanrc/pt.darts,11,0,10,0.909090909,0.909090909,0.909090909
InsightFace: 2D and 3D Face Analysis Project,https://github.com/longchr123/insightface-analysis,10,1,9,0.9,0.818181818,0.857142857
High-Order-LSTM,https://github.com/lancopku/Multi-Order-LSTM,9,0,8,0.888888889,0.888888889,0.888888889
GAT,https://github.com/PetarV-/GAT,10,0,10,1,1,1
bf2,https://github.com/corcra/bf2,7,0,7,1,1,1
Emotional AI,https://github.com/CodeChefVIT/VOID,8,1,6,0.75,0.666666667,0.705882353
